"","tweet_text","created_at","screen_name","name"
"204","dan loeb if trump is going to make america great again he needs a strong stock market  cnbc ","2017-02-02 08:26:58","Jacquel20121997","Jacqueline Dianne Hi"
"205"," the stock market in  ","2017-01-31 18:34:29","ZacEfronDaiIy","Zac Efron Daily"
"206","stock markets flat as fed holds key rate toronto stock market on pace for fifth consecutive losing session ","2017-02-01 17:23:11","LondonOnBuzz","London Ontario Buzz"
"207","mo options oi chart free stock station app itunes ","2017-02-01 19:45:01","OptionsProOI","OptionsPro OI"
"208","the stock market is way overbought fck","2017-01-31 14:24:21","aumy37690","aumy37690"
"209"," how to trade binary options on netflix stock right now you must see this gtgt ","2017-01-31 12:53:27","SkinniNigga2ran","IG:Skinninigga_6ran"
"210","a lesson learned from founder‚Äã on the day the stock market shatters  on ","2017-01-31 15:25:58","DavidHeitz","David Heitz"
"211","stockmarkets soar to record highs as trump rally shows no signs of letting up ","2017-02-02 20:14:00","solomon99999000","Vlad Rothstein"
"212","the stock is up  since this tweet not including dividends ","2017-01-31 15:29:49","TheFinancePanda","Panda Capital"
"213","deutsche boerse head probed over stock buys  the business times channel newsasia‚Ä market","2017-02-01 18:29:50","mergerinvesting","Merger Investing"
"214","dont have sex with someone who could care less about you and more about the stock market wise words from ","2017-01-31 19:25:56","JRussRuss","Julia Russell"
"215"," how to buy and invest in stocks investing ideas and tips stock market news ","2017-02-01 10:12:42","evantonova87939","Hannah Simpson"
"216"," trump‚Äôs honeymoon with the stock market will soon be over  nouriel roubini ","2017-02-02 10:51:28","FolkiKaren","Karen Folkerts"
"217"," welcome to today s market in oakmont pa after hours stock trading ","2017-02-02 16:15:34","nauflounas91","Hannah Simpson"
"218","economic growth at yr highs around  karachi stock market up  death from terrorist attacks down two thirds","2017-02-01 13:07:38","SIYZK","Siy"
"219"," prepare for the imminent global economic collapse ‚Äì  stock market crash shtf economy ","2017-02-02 13:08:13","RevolutionResea","RevolutionResearch"
"220","insanity or stupidity prevails why do americans spend more money on starbucks than on their k plans ","2017-02-02 07:00:07","draco333999","Draco  Cooper"
"221"," this is why a little hard times a little stock market crash is what the doctor ordered","2017-02-02 10:39:34","clasam","kenneth merkatz"
"222","exxon mobil stock crowded with sellers market","2017-01-31 11:39:56","androworldnews","Lukito Abraham"
"223","  signs a february stockmarket selloff may be brewing ","2017-01-31 12:03:08","iguerrero_IMAGO","Isabel Guerrero"
"224","poor mans stock market thelotteryinwords","2017-02-01 20:02:23","JesusmynameisRa","Jesus"
"225"," how to trade binary options on netflix stock right now you must see this gtgt ","2017-01-31 20:14:40","curtiswhltesexy","Curtis White"
"226","boom companies that openly criticized trump for making america safe again take stock market hit ","2017-02-02 07:12:50","k9rotts","Tonia D"
"227","   hes trying to crash the stock market for his own benefit and this is good","2017-01-31 10:07:01","Kansei13Kansei","Senpai 20k "
"228"," ","2017-02-01 10:46:23","Migs_n_Squiggs","misty shakleford"
"229","snapchat owner files for listing on us stock market to raise bn making it by bbcbreaking ","2017-02-02 17:48:05","6969godzilla","wayne french"
"230","igas  igas energy plc share incentive plan ","2017-01-31 11:31:07","HopperGhppr8","Grahame Hopper"
