"","tweet_text","create_at","names","screen_name","Gender"
"682"," united states stock market minneapolis","2017-02-01 15:45:07","CLUBFILRAY88","LEAH",1
"683","stock market down great news means reconsidering gambling amp instead investing to help build local small business amp jobs cavuto foxnews","2017-01-31 16:08:08","ROBSMITHJR","ROB SMITH JR",NA
"684","jpm  jpmorgan chase  investor day ","2017-02-02 16:20:03","GALEBETT","JANET GALE",2
"685"," the stock market is just as slimy of a business as the black market","2017-01-31 09:23:02","WINGOHARRIET","HARRIET R. WINGO",2
"686","potn stock charts pennystock wsj bloomberg cannabis cbd forbes otcmarkets ihub‚Ä ","2017-02-01 18:34:00","SOCIALIRNEWS","SOCIAL IR NEWS",NA
"687"," pakistan stock market among five top stock markets of world alhamdolillah ","2017-01-31 10:27:00","MNAEEM04155165","M.NAEEM (PML.N)",NA
"688","ouch ","2017-02-02 19:34:56","LUVFITNESS","",NA
"689","almost the entire trump bump in the stock market has gone away ","2017-01-31 18:30:54","RFVALUES","REPUB FAMILY VALUES",NA
"690"," gold gains as stock market volatility collapses to year lows ","2017-02-02 16:45:57","SUSTAIN05","STEVEN",2
"691"," the stock market in  ","2017-01-31 17:16:53","MACYZACHARY","MACY ZACHARY",NA
"692"," yes you can say that akb is actually the reason why the japan stock market still hasnt crashed down for the past  years","2017-02-01 19:30:13","HANACHACHACHAN","ANISA HANARESWARI S.",NA
"693"," boom companies that openly criticized trump for making america safe again take stock market hit ","2017-02-01 15:57:07","DEBSCONSTRUCTIO","FADI DEBS",NA
